134236          ,000100,000016,01,8145,2020/08/26
134275          ,000200,000071,01,8200,2020/08/26
134299          ,000050,000074,01,8203,2020/08/26
134337          ,000100,000079,01,8208,2020/08/26
134376          ,001500,000135,01,8264,2020/08/26
134414          ,000200,000021,01,8150,2020/08/26
134465          ,000200,000031,01,8160,2020/08/26
134477          ,000500,000078,01,8207,2020/08/26
134515          ,000150,000121,01,8250,2020/08/26
134554          ,000300,000129,01,8258,2020/08/26
134566          ,000300,000083,01,8212,2020/08/26
134592          ,000200,000112,01,8241,2020/08/26
134679          ,000200,000102,01,8231,2020/08/26
134743          ,000100,000109,01,8238,2020/08/26
134756          ,000300,000137,01,8266,2020/08/26
134794          ,000200,000114,01,8243,2020/08/26
134832          ,000100,000017,01,8146,2020/08/26
134857          ,000200,000042,01,8171,2020/08/26
134883          ,000200,000110,01,8239,2020/08/26
134895          ,000200,000058,01,8187,2020/08/26
134972          ,000200,000035,01,8164,2020/08/26
135001          ,000400,000139,01,8268,2020/08/26
135013          ,000500,000142,01,8271,2020/08/26
135025          ,000500,000124,01,8253,2020/08/26
135049          ,000750,000070,01,8199,2020/08/26
135090          ,000200,000122,01,8251,2020/08/26
135126          ,000050,000022,01,8151,2020/08/26
135153          ,000500,000040,01,8169,2020/08/26
135165          ,000500,000089,01,8218,2020/08/26
135177          ,000100,000018,01,8147,2020/08/26
135189          ,000500,000148,01,8277,2020/08/26
135316          ,000100,000001,01,8130,2020/08/26
135316          ,000050,000138,01,8267,2020/08/26
